弹幕信息出现分钟,弹幕出现日期,弹幕内容
00:25:50,2022-12-06 21:51:54,踢一脚之后要补刀的
00:05:27,2022-12-06 21:42:22,澎恰恰
00:09:57,2022-12-06 19:58:38,妙不可言~哈哈哈哈
00:44:04,2022-12-06 11:09:21,女主真的对每个人都很好
00:35:44,2022-12-05 23:39:02,沈公子和梅老板本剧搞笑担当
00:47:33,2022-12-05 19:42:30,我相信有，但越来越少了
00:29:26,2022-12-05 18:44:27,有些人会觉得假，但感情是真的
00:42:07,2022-12-04 20:34:00,美美 小扫把，再加上这个
00:41:09,2022-12-04 20:32:41,打工助学一般只有一种结局
00:31:14,2022-12-04 20:20:19,没见过比这个更正能量的电视剧了
00:11:57,2022-12-04 19:59:25,镯子的原主人是美美前世。撮合这俩是为了报仇。后边会有剧情
00:11:23,2022-12-04 19:57:41,镯子的报复是有计划的，只是后边出了点意外加快了进度
00:41:27,2022-12-04 19:50:42,都是純天然的美女
00:38:37,2022-12-04 19:47:03,正能量
00:22:47,2022-12-04 19:25:45,哈哈，基於道義。
00:35:19,2022-12-03 23:49:53,喝咖啡哈哈
00:04:49,2022-12-03 21:15:52,椰树牌椰汁，永远美味
00:23:24,2022-12-03 01:23:49,女主出糗，会不会是在抵消手镯法力的反噬
00:01:51,2022-12-02 12:34:03,戈伟如真是完美
00:35:49,2022-12-01 18:49:07,这个就说明在一起是已经互相很了解的
00:29:19,2022-12-01 18:41:22,真情才是必杀技
00:19:32,2022-12-01 18:33:35,这个是不是通灵大王
00:27:00,2022-12-01 13:59:13,这么远还不跑哈哈哈哈哈哈
00:39:00,2022-11-28 19:29:18,张玉嬿在华视版红楼梦里演林黛玉
00:40:37,2022-11-28 13:25:52,阿贵青梅竹马遍天下
00:38:57,2022-11-26 17:12:23,这个剧里女生都可以当大女主了，好漂亮啊
00:11:51,2022-11-25 11:00:51,所以如果没有手镯的话，也许俩人就到不了一起
00:19:50,2022-11-23 12:12:35,一家子胳膊肘往外拐，可是我好喜欢
00:07:21,2022-11-23 02:28:51,大哥，你矜持一点
00:34:09,2022-11-22 23:51:28,哈哈哈哈哈哈哈哈哈大漏嘴巴
00:17:04,2022-11-22 23:49:36,这一家子“反派”女主心都碎了哈哈哈哈哈
00:16:05,2022-11-22 23:48:01,噢！我最喜欢这首！真的会听醉～
00:15:15,2022-11-22 23:46:20,羊子叫哈哈哈哈哈
00:14:41,2022-11-22 23:45:05,第一次看这段的时候很惊艳啊
00:39:03,2022-11-22 20:09:21,完了，大忌啊
00:26:12,2022-11-22 11:46:25,夫妻同心 其利断金 哈哈哈
00:29:29,2022-11-21 23:32:04,也遇到过这样的事件，唉，阿贵是真的福气大了
00:35:21,2022-11-21 23:15:12,咖～啡～声音都抖成这样了。。。。
00:07:25,2022-11-21 22:45:35,夭寿咯～笑死我了～哈哈哈哈
00:46:56,2022-11-21 00:30:00,沈公子越战越勇 太励志了
00:20:41,2022-11-21 00:03:03,退堂……威武………………
00:41:29,2022-11-20 21:53:07,心眼太实了
00:09:36,2022-11-20 20:47:22,幸好我跳过了这段，不然咖啡就泼出去了
00:23:36,2022-11-19 23:56:56,哈哈哈哈，离谱
00:14:52,2022-11-16 18:56:17,确实 这算天贵的一个大优点了
00:47:27,2022-12-06 22:07:07,沈公子没问题
00:40:08,2022-12-06 22:02:25,阿贵青梅竹马真多
00:29:53,2022-12-06 21:53:30,还是英雄救美效果最好
00:09:11,2022-12-06 19:57:41,窒息了，笑不活了
00:07:22,2022-12-06 19:55:40,笑死了哈哈哈哈哈
00:41:53,2022-12-06 11:07:20,这个应该是初恋吧
00:09:53,2022-12-05 23:37:47,哈哈哈哈哈
00:32:44,2022-12-05 23:35:23,哈哈哈哈哈
00:42:37,2022-12-04 20:43:29,目测这姐们要悲剧
00:40:20,2022-12-04 20:31:31,不是在上海滩么
00:39:37,2022-12-04 20:30:03,魂飞天外
00:38:45,2022-12-04 20:29:05,婚前第三者？
00:38:29,2022-12-04 20:28:37,看到了吧，没有超能力好事是没人去做的
00:36:13,2022-12-04 20:25:52,谢谢honey温情款待
00:32:55,2022-12-04 20:22:12,声调都变了
00:17:03,2022-12-04 20:05:36,过分了啊
00:15:53,2022-12-04 20:04:10,还会作词作曲
00:14:38,2022-12-04 20:02:45,《路灯下的老小子》
00:12:28,2022-12-04 20:00:13,《多少柔情多少泪》
00:40:08,2022-12-04 19:48:56,這麼多美女！
00:35:58,2022-12-04 19:44:05,懼內
00:31:05,2022-12-04 19:36:17,總體還是宣傳正能量的。
00:22:28,2022-12-04 19:24:26,喝餛飩
00:45:46,2022-12-04 00:00:38,说的对
00:41:44,2022-12-03 23:56:29,不管丽丽了？
00:10:17,2022-12-03 20:48:45,笑死了……
00:35:39,2022-12-03 19:32:12,icac请你喝咖啡
00:34:26,2022-12-03 19:31:00,阿贵是大智若愚
00:26:13,2022-12-03 19:22:47,哈哈哈
00:24:20,2022-12-03 19:20:54,哈哈哈哈
00:20:31,2022-12-03 19:17:05,天注定
00:11:49,2022-12-03 19:08:23,前世可是你追的天贵哦
00:07:23,2022-12-03 19:03:57,哈哈哈
00:12:05,2022-12-03 13:17:18,戈伟如原声演唱哦
00:23:39,2022-12-01 20:02:10,女主真的好美
00:26:27,2022-12-01 18:49:18,阿贵脚法可以
00:21:48,2022-12-01 18:35:52,盖仙
00:21:18,2022-12-01 18:35:21,欸，这这这
00:19:51,2022-12-01 18:33:54,哈哈哈哈
00:10:18,2022-12-01 18:33:06,我知道为什么换有衣服了
00:09:55,2022-12-01 18:32:42,哈哈哈哈
00:10:36,2022-12-01 18:25:33,一剪梅哦
00:09:17,2022-11-30 20:14:21,嘎嘎嘎嘎嘎
00:38:54,2022-11-30 11:42:30,琼瑶女主啊！
00:09:53,2022-11-30 01:42:23,哈哈哈
00:10:17,2022-11-29 22:38:41,还好他只是个谐星在表演，如果是真的很容易被打
00:27:23,2022-11-29 16:41:54,要撞了！要撞了！我好开心2333
00:30:06,2022-11-29 02:45:19,哈哈哈，女主好好
00:34:08,2022-11-28 19:33:02,哈哈哈哈哈
00:40:10,2022-11-26 20:46:25,这个好漂亮
00:43:27,2022-11-26 18:14:25,这种情况男的多半早就变心了
00:43:24,2022-11-26 18:13:55,新的
00:32:42,2022-11-25 18:25:37,哈哈哈
00:37:11,2022-11-24 02:26:27,可以 那时候有卖的
00:40:35,2022-11-23 18:53:35,哈哈哈
00:02:57,2022-11-23 02:23:45,哈哈哈哈哈哈
00:16:13,2022-11-22 23:48:27,呜呜呜，超好听，超好听，超好听
00:16:00,2022-11-22 23:47:36,澎恰恰好像是艺名来着
00:15:42,2022-11-22 23:47:06,现场solo演唱会
00:45:53,2022-11-22 21:19:36,女主角确实美！
00:15:10,2022-11-22 20:56:21,这电视剧太好了！
00:09:56,2022-11-22 19:27:49,哈哈哈哈
00:09:21,2022-11-22 19:27:15,哈哈哈哈哈哈
00:25:19,2022-11-21 23:04:08,永琪。。。是你～哦买嘎～另一个是～噢～山城～（干嘛捂住我的嘴。。。。）
00:16:32,2022-11-21 21:44:59,真好听啊
00:01:56,2022-11-21 04:02:13,神打
00:32:42,2022-11-21 00:15:21,哈哈哈哈哈哈
00:09:54,2022-11-20 23:51:57,这……………
00:06:35,2022-11-20 23:48:31,太受打击了沈公子
00:38:42,2022-11-20 00:08:15,张玉嬿
00:23:19,2022-11-19 15:23:03,哈哈哈哈哈哈笑死我了
